hast_speciesID|hast_genusID|hast_species|hast_speciesZh
4151|986|Wikstroemia taiwanensis Chang|台灣蕘花
4152|986|Wikstroemia kusanoi Hayata|
4153|987|Elaeagnus formosana Nakai|台灣胡頹子
4154|987|Elaeagnus formosensis Hatusima|蓬萊胡頹子
4155|987|Elaeagnus glabra Thunb.|藤胡頹子
4156|987|Elaeagnus grandifolia Hayata|慈恩胡頹子
4157|987|Elaeagnus oldhamii Maxim. var. nakaii Hayata|細葉胡頹子
4158|987|Elaeagnus oldhamii Maxim|梧
4159|987|Elaeagnus tarokoensis Lu & Yang|太魯閣胡頹子
4160|987|Elaeagnus thunbergii Serv.|鄧氏胡頹子
4161|987|Elaeagnus triflora Roxb.|菲律賓胡頹子
4162|987|Elaeagnus umbellata Thunb.|小葉胡頹子
4163|987|Elaeagnus macrophylla Thunb.|大葉胡頹子
4164|987|Elaeagnus morrisonensis Hayata|玉山胡頹子
4165|987|Elaeagnus obovata Li|小葉胡頹子
4166|987|Elaeagnus form|
4167|988|Casearia membranacea Hance|薄葉嘉賜木
4168|989|Douralis hebecarpa Warb.|錫蘭醋栗
4169|990|Flacourtia cataphracta Roxb. ex Willd.|羅旦梅
4170|990|Flacourtia rukam Zoll & Merr.|羅庚果
4171|990|Flacourtia jangomas (Lour.) Raeusch.|羅旦梅
4172|991|Homalium cochinchinensis (Lour.) Druce|天料木
4173|992|Hydnocarpus alcalae C. DC.|阿爾卡雷大風子
4174|992|Hydnocarpus anthelminthicus Pierr. ex Laness.|大風子
4175|992|Hydnocarpus kuryii Warb.|毯利大風子
4176|992|Hydnocarpus wightiana Bl.|衛氏大風子
4177|993|Idesia polycarpa Maxim.|山桐子
4178|994|Scolopia oldhamii Hance|魯花樹
4179|995|Xylosma congesta (Lour.) Merr.|柞木
4180|997|Hybanthus enneaspermus (L.) F. v. Muell.|鼠鞭草
4181|998|Viola adenothrix Hayata var. tsugitakaensis (Masam.) Wang & Huang|雪山堇菜
4182|998|Viola adenothrix Hayata|喜岩堇菜
4183|998|Viola adenothrix Hayata var. adenothrix|喜岩堇菜
4184|998|Viola arcuata Blume|如意草
4185|998|Viola betonicifolia J. E. Smith|箭葉堇菜
4186|998|Viola biflora L.|雙黃花堇菜
4187|998|Viola confusa Champ. ex Benth.|短毛堇菜
4188|998|Viola diffusa Ging.|茶匙黃
4189|998|Viola formosana Hayata var. kawakamii (Hayata) Wang|
4190|998|Viola formosana Hayata var. tozanensis (Hayata) Hsieh|塔山堇菜
4191|998|Viola formosana Hayata var. formosana|台灣堇菜
4192|998|Viola formosana Hayata var. stenopetala (Hayata) Wang, Huang & Hashimoto|川上氏堇菜
4193|998|Viola formosana Hayata|台灣堇菜
4194|998|Viola grypoceras A. Gray|紫花堇菜
4195|998|Viola inconspicua Bl.|
4196|998|Viola inconspicua subsp. nagasakiensis (W. Becker) J.C. Wang & T.C. Huang|小堇菜
4197|998|Viola longistipulata Hayata|
4198|998|Viola mandshurica W. Becker|紫花地丁
4199|998|Viola minor Makino|微堇菜
4200|998|Viola nagasawai Makino & Hayata var. nagasawai|台北堇菜
4201|998|Viola nagasawai Makino & Hayata var. pricei (W. Becker) Wang & Huang|普萊氏堇菜
4202|998|Viola nagasawai Makino & Hayata|台北堇菜
4203|998|Viola obtusa (Makino) Makino|
4204|998|Viola obtusa (Makino) Makino var. tsuifengensis Hashimoto|翠峰堇菜
4205|998|Viola odorata L.|香堇菜
4206|998|Viola senzanensis Hayata|尖山堇菜
4207|998|Viola shinchikuensis Yamamoto|新竹堇菜
4208|998|Viola tenuis Benth.|心葉茶匙黃
4209|998|Viola tricolor L.|三色堇
4210|998|Viola verecunda A. Gray f. radicans Makino|茶匙黃
4211|998|Viola verecunda A. Gray|葡堇菜
4212|998|Viola tsugitakaensis Masamune|雪山堇菜
4213|998|Viola arvensis Murray|
4214|998|Viola caespitosa D. Don|箭葉蓳菜
4215|998|Viola rupicola Elmer|喜岩堇菜
4216|998|Viola thrichopoda Hayata|
4217|999|Stachyurus himalaicus Hook. f. & Thomson ex Benth.|通條樹
4218|1000|Adenia formosana Hayata|假西番蓮
4219|1001|Passiflora edulis Sims.|西番蓮(百香果)
4220|1001|Passiflora foetida L. var. hispida (DC. ex Triana & Planch.) Killip|毛西番蓮
4221|1001|Passiflora foetida L.|毛西番蓮
4222|1001|Passiflora laurifolia L.|樟葉西番蓮
4223|1001|Passiflora quadrangularis L.|大果西番蓮
4224|1001|Passiflora suberosa L.|三角葉西番蓮
4225|1001|Passiflora violacea Vell.|藍冠西番蓮
4226|1002|Bixa orellana L.|臙脂樹
4227|1003|Tamarix aphylla (L.) Karst.|無葉檉柳
4228|1003|Tamarix juniperina Bunge|華北檉柳
4229|1004|Bergia ammannioides Roxb.|伯格草
4230|1005|Elatine triandra Schkuhr|三蕊溝繁縷
4231|1005|Elatine ambigua Wight|短柄花溝繁縷
4232|1006|Carica papaya L.|木瓜
4233|1007|Begonia acida Mart. ex A. DC.|酸葉秋海棠
4234|1007|Begonia albococcinea W.J. Hooker|印度秋海棠
4235|1007|Begonia albo-picta Regel|星點秋海棠
4236|1007|Begonia aptera Blume|圓果秋海棠
4237|1007|Begonia argenteo-guttata Hort. ex L. H. Bailey|麻葉秋海棠
4238|1007|Begonia austrotaiwanensis Y. K. Chen & C. I Peng|南台灣秋海棠
4239|1007|Begonia bowerae R. Ziesenh.|眉毛秋海棠
4240|1007|Begonia ×buimontana Yamam.|武威山秋海棠
4241|1007|Begonia chitoensis T. S. Liu & M. J. Lai|溪頭秋海棠
4242|1007|Begonia coccinea Hook.|巴西秋海棠
4243|1007|Begonia luzhaiensis T.C. Ku|鹿寨秋海棠
4244|1007|Begonia leprosa Hance|癩葉秋海棠
4245|1007|Begonia edulis Lévl.|食用秋海棠
4246|1007|Begonia chingii Irmsch.|鳳山秋海棠
4247|1007|Begonia pedatifida Lévl.|掌裂葉秋海棠
4248|1007|Begonia xishuiensis Ku|習水秋海棠
4249|1007|Begonia limprichtii Irmsch.|蕺葉秋海棠
4250|1007|Begonia grandis Dry|秋海棠
4251|1007|begonia filiformis Irmsch.|絲形秋海棠
4252|1007|Begonia yishanensis Ku|宜山秋海棠
4253|1007|Begonia dichroa Sprague|瓔珞秋海棠
4254|1007|Begonia lanternaria Irmsch.|燈果秋海棠
4255|1007|Begonia circumlobata Hance|周裂秋海棠
4256|1007|Begonia balansana Gagnep.|北越秋海棠
4257|1007|Begonia maguanensis S. H. Huang et Shui|馬關秋海棠
4258|1007|Begonia biflora T. C. Ku|雙花秋海棠
4259|1007|Begonia cirrosa L. B. Smith et D. C. Wasshausen|卷毛秋海棠
4260|1007|Begonia cylindrica D. R. Liang et X.X. Chen|柱果秋海棠
4261|1007|Begonia daxinensis T. C. Ku|大新秋海棠
4262|1007|Begonia masoniana Irmsch.|鐵甲秋海棠
4263|1007|Begonia ornithophylla Irmsch.|鳥葉秋海棠
4264|1007|Begonia evansiana Andr.|秋海棠
4265|1007|Begonia porteri Léveillé & Vaniot|羅甸秋海棠
4267|1007|Begonia wangii T. T. Yü|少瓣秋海棠
4268|1007|Begonia guangxiensis C. Y. Wu|廣西秋海棠
4269|1007|Begonia fenicis Merr.|蘭嶼秋海棠
4270|1007|Begonia formosana (Hayata) Masam.|水鴨腳
4271|1007|Begonia formosana (Hayata) Masam. f. formosana|水鴨腳
4272|1007|Begonia formosana (Hayata) Masam. f. albomaculata T. S. Liu & M. J. Lai|白斑水鴨腳
4273|1007|Begonia fuchsioides Hook.|墨西哥秋海棠
4274|1007|Begonia goegoensis N. E. Brown|火焰秋海棠
4275|1007|Begonia haageana W. Watson|紫背秋海棠
4276|1007|Begonia heracleifolia Cham. & Schlecht.|大苞秋海棠
4277|1007|Begonia hidalgensis L. B. Smith & Schubert|褐脈秋海棠
4278|1007|Begonia hydrocotylifolia Otto ex Hook.|鋪地秋海棠
4279|1007|Begonia imperialis Lem.|絨毛秋海棠
4280|1007|Begonia incana Lindl.|綿毛秋海棠
4281|1007|Begonia laciniata Roxb.|巒大秋海棠
4282|1007|Begonia listada L.B. Smith & D.C. Wasshausen|金線秋海棠
4283|1007|Begonia lubbersii Morr.|雙尖秋海棠
4284|1007|Begonia lukuana Y. C. Liu & C. H. Ou|鹿谷秋海棠
4285|1007|Begonia maculata Raddi|銀點秋海棠
4286|1007|Begonia masoniana Irmsch. ex Ziesenh.|鐵十字秋海棠
4287|1007|Begonia metallica W.G. Sm.|撒金秋海棠
4288|1007|Begonia nantoensis M. J. Lai & N. J. Chung|南投秋海棠
4289|1007|Begonia paulensis A. DC.|蜘蛛網秋海棠
4290|1007|Begonia peltata A. DC.|盾葉秋海棠
4291|1007|Begonia pustulata Liebm.|褐絨秋海棠
4292|1007|Begonia ravenii C. I Peng & Y. K. Chen|岩生秋海棠
4293|1007|Begonia rex Putz.|大葉秋海棠
4294|1007|Begonia rhizocarpa Fisch. ex A. DC.|根果秋海棠
4295|1007|Begonia sceptrum Carr.|深裂秋海棠
4296|1007|Begonia semperflorens Link. & Otto|四季秋海棠(洋秋海棠)
4297|1007|Begonia taiwaniana Hayata|台灣秋海棠
4298|1007|Begonia tarokoensis M. J. Lai|太魯閣秋海棠
4299|1007|Begonia vitifolia Schott|小花秋海棠
4300|1007|Begonia formosana (Hayata) Masamune × B. aptera Bl.|
4301|1007|Begonia baviensis Gagnep.|金平秋海棠
4302|1007|Begonia fimbristipula Hance|紫背天葵
4303|1007|Begonia hayatae Gagnepain|圓果秋海棠
4304|1007|Begonia hybrid|
4305|1007|Begonia palmata D. Don|裂葉秋海棠
4306|1007|Begonia randaiensis Sasaki|巒大秋海棠
4307|1007|Begonia sinensis A. DC.|中華秋海棠
4309|1007|Begonia crassirostris Irmsch.|粗喙秋海棠
4310|1007|Begonia pinglinensis C.-I Peng|坪林秋海棠
4311|1007|Begonia alveolata Yu|點葉秋海棠
4312|1007|Begonia (?) aptera × palmata|
4313|1007|Begonia laminariae Irmsch.|圓翅秋海棠(薄葉秋海棠)
4314|1007|Begonia cavaleriei H. Lév.|昌感秋海棠(盾葉秋海棠)
4315|1007|Begonia psilophylla Irmsch.|光滑秋海棠(光葉秋海棠)
4316|1007|Begonia ceratocarpa S. H. Huang & Y. M. Shui|角果秋海棠
4317|1007|Begonia handelii Irmsch.|大香秋海棠(短莖秋海棠)
4318|1007|Begonia cucurbitifolia C. Y. Wu|瓜葉秋海棠
4319|1007|Begonia versicolor Irmsch.|變色秋海棠
4320|1007|Begonia wenshanensis C. M. Hu ex C. Y. Wu et Ku|文山秋海棠
4321|1007|Begonia villifolia Irmsch.|長毛秋海棠
4322|1007|Begonia daweishanensis S.H. Huang & Y.M. Shui|大圍山秋海棠
4323|1007|Begonia hemsleyana Hook. f.|掌葉秋海棠
4324|1007|Begonia oreodoxa  Chun & F. Chun ex C.Y. Wu & T.C. Ku|山地秋海棠
4325|1007|Begonia ×taipeiensis  C. I Peng|台北秋海棠
4327|1007|Begonia cathayana Hemsl.|花葉秋海棠
4328|1007|Begonia gulinqingensis S.H. Huang & Y.M. Shui|古林箐秋海棠
4329|1007|Begonia hekouensis S.H. Huang|河口秋海棠
4331|1007|Begonia labordei Levl.|心葉秋海棠
4332|1007|Begonia longicarpa K. Y. Guan et D. K. Tian|長果秋海棠
4333|1007|Begonia manhaoensis S.H. Huang & Y.M. Shui|蔓耗秋海棠
4334|1007|Begonia megalophyllaria C.Y. Wu|大葉秋海棠
4335|1007|Begonia miranda Irmsch.|截裂秋海棠(奇異秋海棠)
4336|1007|Begonia parvula Levl. et Vant.|小秋海棠
4337|1007|Begonia pseudodryadis C.Y. Wu|假厚葉秋海棠
4338|1007|Begonia purpureofolia S.H. Huang & Y.M. Shui|紫葉秋海棠
4339|1007|Begonia tetragona Irmsch.|角果秋海棠
4340|1007|Begonia truncatiloba Irmsch.|截葉秋海棠
4341|1007|Begonia zhengyiana Y.M. Shui|
4343|1007|Begonia bouffordii C.-I Peng|九九峰秋海棠
4344|1008|Actinostemma tenerum Griff.|合子草
4345|1008|Actinostemma lobatum (Maxim.) Maxim. ex Fr. & Sav.|合子草
4346|1009|Benincasa hispida (Thunb.) Cogn.|冬瓜
4347|1010|Citrullus vulgaris Schrad. ex Eckl. & Zeyh.|西瓜
4348|1011|Cucumis melo L. f. viridis Makino|醃瓜
4349|1011|Cucumis melo L.|香瓜(黃瓜仔、甜瓜)
4350|1011|Cucumis melo L. var. conomon Makino f. albus Makino|越瓜(醃瓜)
4351|1011|Cucumis melo L. f. variegatus Makino|島瓜
4352|1011|Cucumis sativus L.|胡瓜(刺瓜)
4353|1011|Cucumis trigonus Roxb.|三角形瓜
4354|1012|Cucurbita maxima Duchesne|栗南瓜
4355|1012|Cucurbita moschata Duchesne var. toonas Makino|番南瓜(番金瓜)
4356|1012|Cucurbita moschata Duchesne ex Poir.|美國南瓜
4357|1012|Cucurbita moschata Duchesne var. melonaeformis Makino|南瓜(金瓜)
4358|1013|Diplocyclos palmatus (L.) C. Jeffrey|雙輪瓜
4359|1014|Gymnopetalum chinense (Lour.) Merr.|裸瓣瓜
4360|1015|Gynostemma pentaphyllum (Thunb.) Makino|絞股藍
4361|1016|Lagenaria leucantha (Duchesne) Rusby|壺廬(匏仔)
4362|1016|Lagenaria leucantha (Duchesne) Rusby var. depressa (Ser.) Makino|葫蘆
4363|1016|Lagenaria leucantha (Duchesne) Rusby var. gourda Makino|蒲蘆(葫蘆匏)
4364|1016|Lagenaria leucantha (Duchesne) Rusby var. microcarpa Makino|小果蒲蘆
4365|1016|Lagenaria siceraria (Molina) Standley|小葫蘆
4366|1017|Luffa acutangula (L.) Roxb.|雨傘瓜
4367|1017|Luffa cylindrica (L.) M. Roem.|絲瓜(菜瓜)
4368|1018|Melothria indica Lour.|老鼠冬瓜
4369|1018|Melothria perpusilla (Bl.) Cogn.|細長果馬兒
4370|1018|Melothria pendula L.|垂瓜果
4371|1018|Melothria formosana Hayata|台灣馬兒
4372|1018|Melothria heterophylla (Lour.) Cogn.|變葉馬兒
4373|1018|Melothria maderaspatana (L.) Cogn.|
4374|1018|Melothria mucronata (Bl.) Cogn.|山剌瓜
4375|1018|Melothria liukiuensis Nakai|
4376|1019|Momordica charantia L.|苦瓜
4377|1019|Momordica cochinchinensis (Lour.) Spreng.|木虌子
4378|1020|Mukia maderaspatana (L.) M. J. Roem.|天花
4379|1021|Neoalsomitra integrifolia (Cogn.) Hutch.|穿山龍
4380|1022|Sechium edule Sw.|梨瓜(佛手瓜、香木緣瓜)
4381|1023|Siraitia taiwaniana (Hayata) C. Jeffrey ex Lu & Zhang|台灣羅漢果
4382|1024|Solena amplexicaulis (Lam.) Gandhi|茅瓜
4383|1024|Solena heterophylla Lour.|
4384|1025|Thladiantha nudiflora Hemsl. ex Forbes & Hemsl.|青牛膽
4385|1025|Thladiantha punctata Hayata|斑花青牛膽
4386|1025|Thladiantha longifolia Cogn. ex Oliver|
4387|1026|Trichosanthes cucumeroides (Ser.) Maxim. ex Fr. & Sav.|王瓜
4388|1026|Trichosanthes homophylla Hayata|芋葉括樓
4389|1026|Trichosanthes laceribracteata Hayata|槭葉括樓
4390|1026|Trichosanthes okamotoi Kitam.|岡本氏括摟
4391|1026|Trichosanthes ovigera Bl.|全緣括樓
4392|1026|Trichosanthes quinquangulata A. Gray.|蘭嶼括樓
4393|1026|Trichosanthes rosthornii Harms|中華括樓
4394|1026|Trichosanthes kirilowii Maxim.|括樓
4395|1027|Zehneria japonica (Thunb.) H.-Y. Liu|馬兒
4396|1027|Zehneria mucronata (Bl.) Miq.|黑果馬兒
4397|1028|Ammannia baccifera L.|水莧菜
4398|1028|Ammannia coccinea Rathb.|長葉水莧菜
4399|1028|Ammannia multiflora Roxb.|多花水莧菜
4400|1029|Cuphea cartagenesis (Jacq.) Macbrids|克非亞草
4401|1029|Cuphea hyssopifolia H. B. K.|細葉雪茄花
4402|1029|Cuphea ignea A. DC.|雪茄花
4403|1029|Cuphea micropetala H. B. K.|微瓣雪茄花
4404|1030|Lagerstroemia amabilis Makino|紫薇
4405|1030|Lagerstroemia floribunda Jack|稜萼紫薇
4406|1030|Lagerstroemia flos-reginae Retz.|大花紫薇
4407|1030|Lagerstroemia indica L.|紫薇(百日紅)
4408|1030|Lagerstroemia speciosa (L.) Pers.|大花紫薇
4409|1030|Lagerstroemia subcostata Koehne|九芎
4410|1030|Lagerstroemia turbinata Koehme|稜萼紫薇
4411|1031|Lawsonia inermis L.|指甲花
4412|1032|Pemphis acidula J. R. & G. Forst.|水芫花
4413|1033|Rotala indica (Willd) Koehne var. uliginosa (Miq.) Koehne|印度水豬母乳
4414|1033|Rotala indica (Willd.) Koehne|印度水豬母乳
4415|1033|Rotala mexicana Cham. & Schltd.|輪生葉水豬母乳
4416|1033|Rotala ramosior (L.) Koehne|美洲水豬母乳
4417|1033|Rotala rosea (Poiret) C. D. K. Cook|五蕊水豬母乳
4418|1033|Rotala rotundifolia (Wallich ex Roxb.) Koehne|水豬母乳
4419|1033|Rotala wallichii (Hook. f.) Koehne|瓦氏水豬母乳
4420|1033|Rotala hippuris Makino|水杉菜
4421|1035|Acmena acuminatissima (Bl.) Merr. & Perry|賽赤楠
4422|1036|Callistemon citrinus (Curt.) Skeels|紅千層
4423|1036|Callistemon coccineus F. Muell.|杉葉榴
4424|1036|Callistemon lanceolatus DC.|紅千層
4425|1036|Callistemon linearis (Smith) DC.|狹葉串錢柳
4426|1036|Callistemon rigidus R. Brown|紅花瓶刷子樹
4427|1036|Callistemon salignus DC.|黃花瓶刷子樹
4428|1036|Callistemon viminalis Don ex Loud.|串錢柳
4429|1037|Couroupita guianensis Aubl.|砲彈樹
4430|1038|Decaspermum gracilentum (Hance) Merr. & Perry|十子木
4431|1039|Eucalyptus botryoides Smith|鹽風桉
4432|1039|Eucalyptus camaldulensis Dehn.|赤桉
4433|1039|Eucalyptus cinerea F. Muell ex Benth.|銀葉桉
4434|1039|Eucalyptus diversicolor F. Muell|加利桉
4435|1039|Eucalyptus ficifolia F. Muell|美麗桉
4436|1039|Eucalyptus globulus Labill|藍桉
4437|1039|Eucalyptus gomphocephala DC.|耐風桉
4438|1039|Eucalyptus grandis W. Hill. ex Maiden|玫瑰桉
4439|1039|Eucalyptus gummifera (Gaertn.) Hochr.|紅血桉
4440|1039|Eucalyptus longifolia Link & Otto|長葉桉
4441|1039|Eucalyptus maculata Hook.|斑桉
4442|1039|Eucalyptus maculata Hook. var. citriodora (Hook) F. Muell.|檸檬桉
4443|1039|Eucalyptus marginata Smith|加拉桉
4444|1039|Eucalyptus microcorys F. Muell|脂桉
4445|1039|Eucalyptus peltata Benth.|盾葉桉
4446|1039|Eucalyptus perriniana Maiden|貫葉桉
4447|1039|Eucalyptus pulverulenta Sims|小銀葉桉
4448|1039|Eucalyptus regnans F. Muell|大王桉
4449|1039|Eucalyptus resinifera Smith|樹膠桉
4450|1039|Eucalyptus robusta Smith|大葉桉
4451|1039|Eucalyptus saligna Smith|雪梨藍桉
4452|1039|Eucalyptus torelliana F. Muell|托列里桉
4453|1039|Eucalyptus triantha Link|桃花心桉
4454|1039|Eucalyptus umbellata (Gaertn.) Domin|細葉桉
4455|1039|Eucalyptus viminalis Labill|多枝桉
4456|1040|Eugenia aques Burm. f.|水蓮霧
4457|1040|Eugenia brasiliensis Lam.|巴西蒲桃
4458|1040|Eugenia buxifolia Willd.|黃楊葉蒲桃
4459|1040|Eugenia cumini Druce|肯氏蒲桃
4460|1040|Eugenia dombeyi (Spreng.) Skeels|巴西蒲桃
4461|1040|Eugenia grandis Wight|大蒲桃
4462|1040|Eugenia javanica Lam.|爪哇蒲桃
4463|1040|Eugenia malaccensis L.|麻六甲蒲桃
4464|1040|Eugenia pitanga Kiaersk.|單子蒲桃
4465|1040|Eugenia uniflora L.|稜果蒲桃
4466|1041|Melaleuca leucadendra L.|白千層(脫皮樹)
4467|1042|Psidium catteianum Sabine|草莓番石榴
4468|1042|Psidium guajava L.|番石榴(拔仔、那拔)
4469|1042|Psidium humile Vell.|倭番石榴
4470|1042|Psidium laurifolium Berg.|樟葉番石榴
4471|1042|Psidium littorale Roddi|草莓番石榴
4472|1042|Psidium guineense Sw.|巴西番石榴
4473|1043|Rhodomyrtus tomentosa (Aiton) Hassk.|桃金孃
4474|1044|Syncarpia glomulifera Nidenzu.|球花合生果樹
4475|1045|Syzygium buxifolium Hook. & Arn.|小葉赤楠
4476|1045|Syzygium cumini (L.) Skeels var. caryophyllifolium (Du.) R. R. Stewart|闊葉堇寶蓮
4477|1045|Syzygium cumini (L.) Skeels|肯氏蒲桃
4478|1045|Syzygium densinervium Merr.|
4479|1045|Syzygium densinervium Merr. var. insulare Chang|密脈赤楠
4480|1045|Syzygium euphlebium (Hayata) Mori|細脈赤楠
4481|1045|Syzygium formosanum (Hayata) Mori|台灣赤楠
4482|1045|Syzygium jambas (L.) Alston|蒲桃(香果)
4483|1045|Syzygium jambolanum (Lam.) DC.|堇寶蓮
4484|1045|Syzygium kusukusense (Hayata) Mori|高士佛赤楠
4485|1045|Syzygium malaccense (L.) Merr. & Perry|馬來蒲桃
4486|1045|Syzygium paucivenium (Robins.) Merr.|疏脈赤楠
4487|1045|Syzygium samarangense (Bl.) Merr. & Perry|蓮霧
4488|1045|Syzygium simile (Merr.) Merr.|蘭嶼赤楠
4489|1045|Syzygium taiwanicum Hung T. Chang & R.H. Miao|台灣捧花蒲桃
4490|1045|Syzygium tripinnatum (Blanco) Merr.|大花赤楠
4491|1046|Tristania conferta R. Brown|賽桉
4492|1047|Baeckea frutescens L.|
4493|1048|Metrosideros polymorpha Gaudich. var. glaberrima (A. Leveille) H. St. John|
4494|1048|Metrosideros polymorpha Gaudich.|
4495|1050|Punica granatum L.|安石榴
4496|1051|Barringtonia asiatica (L.) Kurz|棋盤腳樹
4497|1051|Barringtonia racemosa (L.) Bl. ex DC.|水茄苳
4498|1052|Lecythis minor Jacq.|小猴胡桃
4499|1053|Astronia formosana Kanehira|大野牡丹
4500|1053|Astronia ferruginea Elmer|大野牡丹
4501|1054|Barthea barthei (Hance) Krass|深山野牡丹
4502|1054|Barthea formosana Hayata|深山野牡丹
4503|1055|Blastus cochinchinensis Lour.|柏拉木
4504|1056|Bredia gibba Ohwi|小金石榴
4505|1056|Bredia hirsuta Bl. var. scandens Ito & Matsumura|布勒德藤
4506|1056|Bredia hirsuta Bl. var. rotundifolia (Liu & Lu) S. F. Huang & T. C. Huang|圓葉布勒德藤
4507|1056|Bredia hirsuta Bl.|
4508|1056|Bredia oldhamii Hooker f. var. oldhamii|
4509|1056|Bredia oldhamii Hooker f. var. ovata Ohwi|
4510|1056|Bredia oldhamii Hooker f.|金石榴
4511|1056|Bredia penduliflora Ying|垂花布勒德木
4512|1056|Bredia rotundifolia Liu & Lu ex Lu|
4513|1056|Bredia scandens (Ito & Matsum.) Hayata|布勒德籐
4514|1057|Medinilla formosana Hayata|台灣野牡丹藤
4515|1057|Medinilla hayataina Keng|蘭嶼野牡丹藤
4516|1057|Medinilla magnifica Lindl.|寶蓮花
4517|1058|Melastoma affine D. Don|基尖葉野牡丹
4518|1058|Melastoma candidum D. Don|野牡丹
4519|1058|Melastoma intermedia Dunn|水社野牡丹
4520|1058|Melastoma normale D. Don|展毛野牡丹
4521|1058|Melastoma sanguineum Sims|
4522|1059|Memecylon caeruleum Jack.|美錫蘭樹
4523|1059|Memecylon lanceolatum Blanco|革葉羊角扭
4524|1060|Osbeckia chinensis L.|金錦香
4525|1060|Osbeckia opipara C. Y. Wu & C. Chen|闊葉金錦香
4526|1060|Osbeckia rubicunda Arn.|錫蘭金錦香
4527|1061|Otanthera scaberrima (Hayata) Ohwi|糙葉耳藥花
4528|1062|Pachycentria formosana Hayata|台灣厚距花
4529|1063|Sarcopyramis napalensis Wall.|肉穗野牡丹
4530|1063|Sarcopyramis napalensis Wall. var. bodinieri Levl.|肉穗野牡丹
4531|1063|Sarcopyramis napalensis Wall. var. delicata (C. B. Robinson) S. F. Huang & T. C. Huang|東方肉穗野牡丹
4532|1063|Sarcopyramis bodinieri Levl. & Van.|
4533|1063|Sarcopyramis delicata C. B. Robins.|肉穗野牡丹
4534|1064|Sonerila tenera Royle|三蕊草
4535|1065|Clidemia hirta (L.) D. Don|毛野牡丹
4536|1066|Oxyspora paniculata (D. Don) DC.|尖子木
4537|1068|Kandelia candel (L.) Druce|水筆仔
4538|1069|Rhizophora mucronata Lam.|五梨跤
4539|1069|Rhizophora stylosa Griff.|紅海欖
4540|1070|Bruguiera gymnorrhiza (L.) Lam.|
4541|1071|Combretum ovalifolium Roxb.|卵葉藤訶子
4542|1072|Lumnitzera racemosa Willd.|欖李
4543|1073|Quisqualis indica L.|使君子
4544|1074|Terminalia arjuna (Roxb.) Beddome|三果木
4545|1074|Terminalia calamansanai (Blanco) Rolfe|馬尼拉欖仁樹
4546|1074|Terminalia catappa L.|欖仁
4547|1074|Terminalia chebula Retz.|訶梨勒(訶子)
4548|1075|Circaea alpina L.|
4549|1075|Circaea alpina L. subsp. imaicola (Asch. & Mag.) Kitam.|高山露珠草
4550|1075|Circaea cordata Royle|心葉露珠草
4551|1075|Circaea erubescens Franch. & Sav.|台灣露珠草
4552|1075|Circaea glabrescens (Pamp.) Hand.-Mazz.|禿梗露珠草
4553|1075|Circaea mollis Sieb. & Zucc.|南方露珠草
4554|1076|Clarkia elegans Dougl.|粉粧花
4555|1077|Epilobium amurense Hausskn.|黑龍江柳葉菜
4556|1077|Epilobium amurense Hausskn. subsp. amurense|黑龍江柳葉菜
4557|1077|Epilobium amurense Hausskn. subsp. laetum (Wall. Ex Hausskn.) Raven|
4558|1077|Epilobium brevifolium D. Don subsp. trichoneurum (Hausskn) Raven|短葉柳葉菜
4559|1077|Epilobium brevifolium D. Don|
4560|1077|Epilobium hohuanense Ying ex Chen, Hoch & Raven|合歡柳葉菜
4561|1077|Epilobium nankotaizanense Yamamoto|南湖柳葉菜
4562|1077|Epilobium pengii Chen, Hoch & Raven|彭氏柳葉菜(網籽柳葉菜)
4563|1077|Epilobium platystigmatosum C. B. Robinson|闊柱柳葉菜
4564|1077|Epilobium taiwanianum Chen, Hoch & Raven|台灣柳葉菜
4565|1077|Epilobium amurense × E. nankotaizanense|
4566|1077|Epilobium sp. ×|
4567|1078|Fuchsia fulgens Moc. & Sesse|墨西哥倒掛金鐘
4568|1078|Fuchsia magellanica Lam. var. globosa Bailey.|球倒掛金鐘
4569|1078|Fuchsia magellanica Lam.|倒掛金鐘
4570|1078|Fuchsia parviflora Lindl.|小花倒掛金鐘
4571|1079|Gaura lindheimeri Engelm. & Gray|玉蝶花
4572|1079|Gaura parviflora Dougl.|
4573|1080|Ludwigia adscendens (L.) Hara|白花水龍
4574|1080|Ludwigia epilobioides Maxim.|假柳葉菜
4575|1080|Ludwigia epilobioides Maxim. subsp. epilobioides|黃花水丁香(假柳葉菜)
4576|1080|Ludwigia epilobioides Maxim. subsp. greatrexii (Hara) Raven|毛盤黃花水丁香
4577|1080|Ludwigia hyssopifolia (G. Don) Exell|細葉水丁香
4578|1080|Ludwigia octovalvis (Jacq.) Raven|水丁香
4579|1080|Ludwigia ovalis Miq.|卵葉水丁香
4580|1080|Ludwigia perennis L.|小花水丁香
4581|1080|Ludwigia ×taiwanensis C.I Peng |台灣水龍
4582|1080|Ludwigia decurrens Walt.|翼莖水丁香
4583|1080|Ludwigia peploides (HBK.) Raven|
4584|1080|Ludwigia peploides (HBK.) Raven subsp. stipulacea (Ohwi) Raven|水龍(過江龍)
4585|1080|Ludwigia peploides (HBK.) Raven ssp. stipulacea (Ohwi) Raven × L. adscendens (L.) Hara|
4586|1080|Ludwigia ravenii Peng|
4587|1080|Ludwigia linearis Walter|
4588|1080|Ludwigia alternifolia L.|
