hast_speciesID|hast_genusID|hast_species|hast_speciesZh
146|27|Mecodium wrightii (v. d. Bosch) Copel.|萊氏蕗蕨
147|28|Meringium blandum (Racib.) Copel.|爪哇厚壁蕨
148|28|Meringium denticulatum (Sw.) Copel.|厚壁蕨
149|28|Meringium holochilum (v. d. Bosch) Copel.|南洋厚壁蕨
150|29|Microgonium bimarginatum v. d. Bosch|叉脈單葉假脈蕨
151|29|Microgonium motleyi v. d. Bosch|細柄單葉假脈蕨
152|29|Microgonium omphalodes Vieill. ex Fourn.|盾形單葉假脈蕨
153|30|Microtrichomanes nitidulum (v. d. Bosch) Copel.|細口團扇蕨
154|31|Nesopteris thysanostoma (Makino) Copel.|球桿毛蕨
155|31|Nesopteris blepharistoma (Copel.) Tagawa|球桿毛蕨
156|32|Pleuromanes pallidum (Bl.) Presl|毛葉蕨
157|33|Reediella humilis (Forst.) Pichi-Sermolli|厚邊蕨
158|34|Selenodesmium obscurum (Bl.) Copel.|線片長筒蕨
159|35|Vandenboschia auriculata (Bl.) Copel.|瓶蕨
160|35|Vandenboschia maxima (Bl.) Copel.|大葉瓶蕨
161|35|Vandenboschia pyxidifera (L.) Copel.|熱帶瓶蕨
162|35|Vandenboschia radicans (Sw.) Copel.|南海瓶蕨
163|35|Vandenboschia orientalis (C. Chr.) Ching|華東瓶蕨
164|35|Vandenboschia naseana (Christ) Ching|漏斗瓶蕨
165|36|Sphaerocionium nitidulum (v. d. B.) K. Iwats|細口團扇蕨
166|37|Trichomanes motleyi v. d. Bosch|短柄單葉假脈蕨
167|37|Trichomanes tahitense Nadeaud|盾型單葉假脈蕨
168|37|Trichomanes bimarginatum v. d. Bosch|叉脈單葉假脈蕨
169|37|Trichomanes bauerianum Endl.|
170|37|Trichomanes nitidulum van den Posch|
171|37|Trichomanes auriculata Bl.|瓶蕨
172|37|Trichomanes obscurum Bl.|線片長筒蕨
173|38|Crepidophylium humile (Forst.) Reed|厚邊蕨
174|39|Plagiogyria dunnii Copel.|倒葉瘤足蕨
175|39|Plagiogyria euphlebia (Kunze) Mett.|華中瘤足蕨
176|39|Plagiogyria formosana Nakai|台灣瘤足蕨
