namecode|FullnameNoAuthors|accepted_namecode|tropicos_namecode|OutputHowMatched|family_with_authors|publication|collation|volume|issue|pages|OutputTitlePageYear|OutputYearPublished|OutputNomenclatureStatus|bhlink
459|Melastomataceae||42000202|FullnameNoAuthors|Melastomataceae Juss.|Gen. Pl.|328|||328|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=328&date=1789
460|Rhizophoraceae||42000204|FullnameNoAuthors|Rhizophoraceae Pers.|Syn. Pl.|2(1): 2|2|1|2|1806||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:638&volume=2&issue=1&spage=2&date=1806
462|Onagraceae||42000200|FullnameNoAuthors|Onagraceae Juss.|Gen. Pl.|317–318|||317|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=317&date=1789
464|Haloragaceae||42000188|FullnameNoAuthors|Haloragaceae R. Br.|Voy. Terra Austral.|2: 549|2||549|1814||No opinion|
465|Theligonaceae||42000316|FullnameNoAuthors|Theligonaceae Dumort.|Anal. Fam. Pl.|15, 17|||15|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=15&date=1829
466|Alangiaceae||42000205|FullnameNoAuthors|Alangiaceae DC.|Prodr.|3: 203|3||203|1828||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=3&issue=&spage=203&date=1828
467|Nyssaceae||42000451|FullnameNoAuthors|Nyssaceae Juss. ex Dumort.|Anal. Fam. Pl.|13|||13|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=13&date=1829
468|Cornaceae||42000206|FullnameNoAuthors|Cornaceae Bercht. ex J. Presl|P?ir. Rostlin|2(23): 92, 91|2|23|92|1825||No opinion|
469|Araliaceae||42000272|FullnameNoAuthors|Araliaceae Juss.|Gen. Pl.|217|||217|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=217&date=1789
501|Diapensiaceae||42000149|FullnameNoAuthors|Diapensiaceae Lindl.|Intr. Nat. Syst. Bot. (ed. 2)|233|||233|1836||No opinion|
503|Ericaceae||42000146|FullnameNoAuthors|Ericaceae Juss.|Gen. Pl.|159–160|||159|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=159&date=1789
505|Primulaceae||42000157|FullnameNoAuthors|Primulaceae Batsch ex Borkh.|Bot. Wörterb.|2: 240|2||240|1797||No opinion|
506|Plumbaginaceae||42000079|FullnameNoAuthors|Plumbaginaceae Juss.|Gen. Pl.|92|||92|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=92&date=1789
507|Sapotaceae||42000150|FullnameNoAuthors|Sapotaceae Juss.|Gen. Pl.|151|||151|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=151&date=1789
508|Ebenaceae||42000151|FullnameNoAuthors|Ebenaceae Gürke|Nat. Pflanzenfam.|4(1): 153|4|1|153|1891||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:4635&volume=4&issue=1&spage=153&date=1891
509|Styracaceae||42000152|FullnameNoAuthors|Styracaceae DC. & Spreng.|Elem. Philos. Pl.|140|||140|1821||No opinion|
511|Oleaceae||42000297|FullnameNoAuthors|Oleaceae Hoffmanns. & Link|Fl. Portug.|1: 62|1||62|1809||No opinion|
513|Gentianaceae||42000276|FullnameNoAuthors|Gentianaceae Juss.|Gen. Pl.|141|||141|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=141&date=1789
514|Apocynaceae||42000278|FullnameNoAuthors|Apocynaceae Juss.|Gen. Pl.|143–144|||143|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=143&date=1789
515|Asclepiadaceae||42000279|FullnameNoAuthors|Asclepiadaceae Borkh.|Bot. Wörterb.|1: 31|1||31|1797||No opinion|
518|Convolvulaceae||42000283|FullnameNoAuthors|Convolvulaceae Juss.|Gen. Pl.|132|||132|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=132&date=1789
519|Hydrophyllaceae||42000287|FullnameNoAuthors|Hydrophyllaceae R. Br.|Bot. Reg.|3: sub t. 242|3||sub t. 242|1817||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:382&volume=3&issue=&spage=sub t. 242&date=1817
520|Boraginaceae||42000289|FullnameNoAuthors|Boraginaceae Juss.|Gen. Pl.|128|||128|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=128&date=1789
522|Callitrichaceae||42000293|FullnameNoAuthors|Callitrichaceae Link|Enum. Hort. Berol. Alt.|1: 7|1||7|1821||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:66&volume=1&issue=&spage=7&date=1821
525|Scrophulariaceae||42000298|FullnameNoAuthors|Scrophulariaceae Juss.|Gen. Pl.|117–118|||117|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=117&date=1789
526|Bignoniaceae||42000305|FullnameNoAuthors|Bignoniaceae Juss.|Gen. Pl.|137|||137|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=137&date=1789
528|Pedaliaceae||42000304|FullnameNoAuthors|Pedaliaceae R. Br.|Prodr.|519|||519|1810||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=519&date=1810
529|Gesneriaceae||42000302|FullnameNoAuthors|Gesneriaceae Rich. & Juss.|Essai Propr. Méd. Pl., ed. 2|192|||192|1816||No opinion|
530|Orobanchaceae||42000301|FullnameNoAuthors|Orobanchaceae Vent.|Tabl. Regn. Veg.|2: 292|2||292|1799||No opinion|
541|Menyanthaceae||42000285|FullnameNoAuthors|Menyanthaceae Dumort.|Anal. Fam. Pl.|20, 25|||20|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=20&date=1829
611|Stemonaceae||42000382|FullnameNoAuthors|Stemonaceae Caruel|Nuovo Giorn. Bot. Ital.|10: 94|10||94|1878||No opinion|
612|Agavaceae||42000378|FullnameNoAuthors|Agavaceae Dumort.|Anal. Fam. Pl.|57, 58|||57|1829||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=57&date=1829
614|Hypoxidaceae||42000441|FullnameNoAuthors|Hypoxidaceae R. Br.|Voy. Terra Austral.|2: 576|2||576|1814||No opinion|
615|Dioscoreaceae||42000384|FullnameNoAuthors|Dioscoreaceae R. Br.|Prodr.|294|||294|1810||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=294&date=1810
616|Smilacaceae||42000383|FullnameNoAuthors|Smilacaceae Vent.|Tabl. Regn. Veg.|2: 146|2||146|1799||No opinion|
618|Iridaceae||42000375|FullnameNoAuthors|Iridaceae Juss.|Gen. Pl.|57|||57|1789||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=57&date=1789
620|Philydraceae||42000370|FullnameNoAuthors|Philydraceae Link|Enum. Hort. Berol. Alt.|1: 5|1||5|1821||No opinion|http://www.biodiversitylibrary.org/openurl?pid=title:66&volume=1&issue=&spage=5&date=1821
622|Commelinaceae||42000348|FullnameNoAuthors|Commelinaceae Mirb.|Hist. Nat. Pl.|8: 177|8||177|1804||No opinion|
624|Eriocaulaceae||42000349|FullnameNoAuthors|Eriocaulaceae Martinov|Tekhno-Bot. Slovar.|237|||237|1820||No opinion|
