namecode|FullnameNoAuthors|accepted_namecode|tropicos_namecode|OutputHowMatched|family_with_authors|publication|collation|volume|issue|pages|OutputTitlePageYear|OutputYearPublished|OutputNomenclatureStatus|bhlink
352|Clusiaceae||42000099|FullnameNoAuthors|Clusiaceae Lindl.|Intr. Nat. Syst. Bot. (ed. 2)|74|||74|1836||nom. cons.|
356|Capparaceae||42000135|FullnameNoAuthors|Capparaceae Juss.|Gen. Pl.|242|||242|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=242&date=1789
357|Brassicaceae||42000136|FullnameNoAuthors|Brassicaceae Burnett|Outlines Bot.|854, 1093, 1123|||854|1835||nom. cons.|
401|Resedaceae||42000138|FullnameNoAuthors|Resedaceae Martinov|Tekhno-Bot. Slovar.|541|||541|1820||nom. cons.|
403|Hamamelidaceae||42000044|FullnameNoAuthors|Hamamelidaceae R. Br.|Narr. Journey China|374|||374|1818||nom. cons.|
404|Crassulaceae||42000173|FullnameNoAuthors|Crassulaceae J. St.-Hil.|Expos. Fam. Nat.|2: 123|2||123|1805||nom. cons.|
407|Rosaceae||42000176|FullnameNoAuthors|Rosaceae Juss.|Gen. Pl.|334|||334|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=334&date=1789
409|Fabaceae||42000184|FullnameNoAuthors|Fabaceae Lindl.|Intr. Nat. Syst. Bot. (ed. 2)|148|||148|1836||nom. cons.|
412|Tropaeolaceae||42000270|FullnameNoAuthors|Tropaeolaceae Juss. ex DC.|Prodr.|1: 683|1||683|1824||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=1&issue=&spage=683&date=1824
413|Zygophyllaceae||42000266|FullnameNoAuthors|Zygophyllaceae R. Br.|Voy. Terra Austral.|2: 545|2||545|1814||nom. cons.|
421|Malpighiaceae||42000245|FullnameNoAuthors|Malpighiaceae Juss.|Gen. Pl.|252|||252|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=252&date=1789
422|Polygalaceae||42000249|FullnameNoAuthors|Polygalaceae Hoffmanns. & Link|Fl. Portug.|1: 62|1||62|1809||nom. cons.|
423|Coriariaceae||42000035|FullnameNoAuthors|Coriariaceae DC.|Prodr.|1: 739|1||739|1824||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=1&issue=&spage=739&date=1824
431|Celastraceae||42000222|FullnameNoAuthors|Celastraceae R. Br.|Voy. Terra Austral.|2: 554|2||554|1814||nom. cons.|
433|Buxaceae||42000233|FullnameNoAuthors|Buxaceae Dumort.|Comment. Bot.|54|||54|1822||nom. cons.|
436|Vitaceae||42000239|FullnameNoAuthors|Vitaceae Juss.|Gen. Pl.|267|||267|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=267&date=1789
437|Leeaceae||42000238|FullnameNoAuthors|Leeaceae Dumort.|Anal. Fam. Pl.|21, 27|||21|1829||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=21&date=1829
443|Thymelaeaceae||42000196|FullnameNoAuthors|Thymelaeaceae Juss.|Gen. Pl.|76|||76|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=76&date=1789
444|Elaeagnaceae||42000185|FullnameNoAuthors|Elaeagnaceae Juss.|Gen. Pl.|74–75|||74|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=74&date=1789
446|Violaceae||42000117|FullnameNoAuthors|Violaceae Batsch|Tab. Affin. Regni Veg.|57|||57|1802||nom. cons.|
452|Caricaceae||42000126|FullnameNoAuthors|Caricaceae Dumort.|Anal. Fam. Pl.|37, 42|||37|1829||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=37&date=1829
453|Begoniaceae||42000131|FullnameNoAuthors|Begoniaceae C. Agardh|Aphor. Bot.|200|||200|1824||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:44857&volume=&issue=&spage=200&date=1824
455|Lythraceae||42000191|FullnameNoAuthors|Lythraceae J. St.-Hil.|Expos. Fam. Nat.|2: 175|2||175|1805||nom. cons.|
456|Myrtaceae||42000198|FullnameNoAuthors|Myrtaceae Juss.|Gen. Pl.|322–323|||322|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=322&date=1789
458|Lecythidaceae||42000105|FullnameNoAuthors|Lecythidaceae A. Rich.|Dict. Class. Hist. Nat.|9: 259|9||259|1825||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:33901&volume=9&issue=&spage=259&date=1825
461|Combretaceae||42000203|FullnameNoAuthors|Combretaceae R. Br.|Prodr.|351|||351|1810||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=351&date=1810
463|Trapaceae||42000197|FullnameNoAuthors|Trapaceae Dumort.|Anal. Fam. Pl.|36, 39|||36|1829||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=36&date=1829
470|Apiaceae||42000273|FullnameNoAuthors|Apiaceae Lindl.|Intr. Nat. Syst. Bot. (ed. 2)|21|||21|1836||nom. cons.|
502|Pyrolaceae||42000147|FullnameNoAuthors|Pyrolaceae Lindl.|Syn. Brit. Fl.|175|||175|1829||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:75625&volume=&issue=&spage=175&date=1829
504|Myrsinaceae||42000156|FullnameNoAuthors|Myrsinaceae R. Br.|Prodr.|532|||532|1810||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=532&date=1810
510|Symplocaceae||42000154|FullnameNoAuthors|Symplocaceae Desf.|Mém. Mus. Hist. Nat.|6: 9|6||9|1820||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:50067&volume=6&issue=&spage=9&date=1820
512|Loganiaceae||42000274|FullnameNoAuthors|Loganiaceae R. Br. ex Mart.|Nov. Gen. Sp. Pl.|2: 133|2||133|1827||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:450&volume=2&issue=&spage=133&date=1827
516|Rubiaceae||42000315|FullnameNoAuthors|Rubiaceae Juss.|Gen. Pl.|196|||196|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=196&date=1789
517|Polemoniaceae||42000286|FullnameNoAuthors|Polemoniaceae Juss.|Gen. Pl.|136|||136|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=136&date=1789
521|Verbenaceae||42000290|FullnameNoAuthors|Verbenaceae J. St.-Hil.|Expos. Fam. Nat.|1: 245|1||245|1805||nom. cons.|
523|Lamiaceae||42000291|FullnameNoAuthors|Lamiaceae Martinov|Tekhno-Bot. Slovar.|355|||355|1820||nom. cons.|
524|Solanaceae||42000282|FullnameNoAuthors|Solanaceae Juss.|Gen. Pl.|124|||124|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=124&date=1789
531|Lentibulariaceae||42000307|FullnameNoAuthors|Lentibulariaceae Rich.|Fl. Paris (ed. fol.)|1: 23|1||23|1808||nom. cons.|
532|Myoporaceae||42000300|FullnameNoAuthors|Myoporaceae R. Br.|Prodr.|514|||514|1810||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=514&date=1810
533|Plantaginaceae||42000295|FullnameNoAuthors|Plantaginaceae Juss.|Gen. Pl.|89–90|||89|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=89&date=1789
535|Valerianaceae||42000319|FullnameNoAuthors|Valerianaceae Batsch|Tab. Affin. Regni Veg.|227|||227|1802||nom. cons.|
538|Goodeniaceae||42000314|FullnameNoAuthors|Goodeniaceae R. Br.|Prodr.|573|||573|1810||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=573&date=1810
539|Asteraceae||50307371|FullnameNoAuthors|Asteraceae Bercht. & J. Presl|Prir. Rostlin|254|||254|1820||nom. cons.|
607|Zannichelliaceae||42000333|FullnameNoAuthors|Zannichelliaceae Chevall.|Fl. Gén. Env. Paris|2: 256|2||256|1827||nom. cons.|
608|Zosteraceae||42000336|FullnameNoAuthors|Zosteraceae Dumort.|Anal. Fam. Pl.|65–66|||65|1829||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=65&date=1829
609|Najadaceae||42000332|FullnameNoAuthors|Najadaceae Juss.|Gen. Pl.|18|||18|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=18&date=1789
610|Liliaceae||42000374|FullnameNoAuthors|Liliaceae Juss.|Gen. Pl.|48|||48|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=48&date=1789
613|Amaryllidaceae||42000442|FullnameNoAuthors|Amaryllidaceae J. St.-Hil.|Expos. Fam. Nat.|1: 134|1||134|1805||nom. cons.|
617|Pontederiaceae||42000371|FullnameNoAuthors|Pontederiaceae Kunth|Nov. Gen. Sp. (quarto ed.)|1: 265|1||265|1815|1816|nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:640&volume=1&issue=&spage=265&date=1815
621|Juncaceae||50181959|FullnameNoAuthors|Juncaceae Juss.|Gen. Pl.|43|||43|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=43&date=1789
623|Xyridaceae||42000346|FullnameNoAuthors|Xyridaceae C. Agardh|Aphor. Bot.|158|||158|1823||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:44857&volume=&issue=&spage=158&date=1823
628|Poaceae||42000357|FullnameNoAuthors|Poaceae Barnhart|Bull. Torrey Bot. Club|22: 7|22||7|1895||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:340&volume=22&issue=&spage=7&date=1895
629|Arecaceae||42000339|FullnameNoAuthors|Arecaceae Bercht. & J. Presl|Prir. Rostlin|266|||266|1820||nom. cons.|
633|Lemnaceae||42000344|FullnameNoAuthors|Lemnaceae Martinov|Tekhno-Bot. Slovar.|362|||362|1820||nom. cons.|
637|Musaceae||42000364|FullnameNoAuthors|Musaceae Juss.|Gen. Pl.|61|||61|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=61&date=1789
639|Zingiberaceae||42000366|FullnameNoAuthors|Zingiberaceae Martinov|Tekhno-Bot. Slovar.|682|||682|1820||nom. cons.|
640|Cannaceae||42000368|FullnameNoAuthors|Cannaceae Juss.|Gen. Pl.|62|||62|1789||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:284&volume=&issue=&spage=62&date=1789
703|Nepenthaceae||42000107|FullnameNoAuthors|Nepenthaceae Dumort.|Anal. Fam. Pl.|14, 16|||14|1829||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:443&volume=&issue=&spage=14&date=1829
704|Linaceae||42000244|FullnameNoAuthors|Linaceae DC. ex Perleb|Vers. Arzneikr. Pfl.|107|||107|1818||nom. cons.|
705|Gunneraceae||42000189|FullnameNoAuthors|Gunneraceae Meisn.|Pl. Vasc. Gen.|1: 345, 346, 2: 257|1||345|1836–1843|1842|nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:44043&volume=1&issue=&spage=345&date=1836–1843
707|Phrymaceae||50299879|FullnameNoAuthors|Phrymaceae Schauer|Prodr.|11: 520|11||520|1847||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:286&volume=11&issue=&spage=520&date=1847
728|Restionaceae||42000352|FullnameNoAuthors|Restionaceae R. Br.|Prodr.|243|||243|1810||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:3678&volume=&issue=&spage=243&date=1810
729|Bataceae||42000140|FullnameNoAuthors|Bataceae Mart. ex Perleb|Clav. Class.|17|||17|1838||nom. cons.|
730|Podostemaceae||42000187|FullnameNoAuthors|Podostemaceae Rich. ex Kunth|Nov. Gen. Sp. (quarto ed.)|1: 246|1||246|1816||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:640&volume=1&issue=&spage=246&date=1816
733|Ochnaceae||42000082|FullnameNoAuthors|Ochnaceae DC.|Nouv. Bull. Sci. Soc. Philom. Paris|2: 209|2||209|1811||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:45848&volume=2&issue=&spage=209&date=1811
741|Ixonanthaceae||42000242|FullnameNoAuthors|Ixonanthaceae Planch. ex Miq.|Fl. Ned. Ind.|1(2): viii, 494|1|2|viii|1858||nom. cons.|http://www.biodiversitylibrary.org/openurl?pid=title:93&volume=1&issue=2&spage=viii&date=1858
742|Phyllanthaceae||50308046|FullnameNoAuthors|Phyllanthaceae Martinov|Tekhno-Bot. Slovar.|369|||369|1820||nom. cons.|
134|Parkeriaceae|119|42000406|FullnameNoAuthorsIllegit|Parkeriaceae Hook.|Exot. Fl.|pl. 147|||pl. 147|1825||nom. rej.|http://www.biodiversitylibrary.org/openurl?pid=title:51264&volume=&issue=&spage=pl. 147&date=1825
