SourceID	FullNameNoAuthors	FullNameWithAuthors
510	Symplocaceae	
511	Oleaceae	
512	Loganiaceae	
513	Gentianaceae	
514	Apocynaceae	
515	Asclepiadaceae	
516	Rubiaceae	
517	Polemoniaceae	
518	Convolvulaceae	
519	Hydrophyllaceae	
520	Boraginaceae	
521	Verbenaceae	
522	Callitrichaceae	
523	Lamiaceae	
524	Solanaceae	
525	Scrophulariaceae	
526	Bignoniaceae	
527	Acanthaceae	
528	Pedaliaceae	
529	Gesneriaceae	
530	Orobanchaceae	
531	Lentibulariaceae	
532	Myoporaceae	
533	Plantaginaceae	
534	Caprifoliaceae	
535	Valerianaceae	
536	Dipsacaceae	
537	Campanulaceae	
538	Goodeniaceae	
539	Asteraceae	
540	Sphenocleaceae	
541	Menyanthaceae	
601	Alismataceae	
602	Butomaceae	
603	Hydrocharitaceae	
604	Aponogetonaceae	
605	Potamogetonaceae	
606	Ruppiaceae	
607	Zannichelliaceae	
608	Zosteraceae	
609	Najadaceae	
610	Liliaceae	
611	Stemonaceae	
612	Agavaceae	
613	Amaryllidaceae	
614	Hypoxidaceae	
615	Dioscoreaceae	
616	Smilacaceae	
617	Pontederiaceae	
618	Iridaceae	
619	Burmanniaceae	
620	Philydraceae	
621	Juncaceae	
622	Commelinaceae	
623	Xyridaceae	
624	Eriocaulaceae	
625	Bromeliaceae	
626	Flagellariaceae	
627	Cyperaceae	
628	Poaceae	
629	Arecaceae	
630	Cyclanthaceae	
631	Taccaceae	
632	Araceae	
633	Lemnaceae	
634	Pandanaceae	
635	Sparganiaceae	
636	Typhaceae	
637	Musaceae	
638	Strelitziaceae	
639	Zingiberaceae	
640	Cannaceae	
641	Marantaceae	
642	Orchidaceae	
643	Petrosaviaceae	
644	Triuridaceae	
700	Pentaphragmataceae	
701	Cardiopteridaceae	
702	Gnetaceae	
703	Nepenthaceae	
704	Linaceae	
705	Gunneraceae	
706	Dipterocarpaceae	
707	Phrymaceae	
708	Sonneratiaceae	
709	Cannabaceae	
710	Stylidiaceae	
711	Ephedraceae	
712	Alstroemeriaceae	
713	Anthericaceae  	
714	Adoxaceae	
715	Cymodoceaceae	
716	Ancistrocladaceae	
717	Anisophylleaceae	
718	Pentaphylacaceae	
719	Haemodoraceae	
720	Tectariaceae	
721	Juncaginaceae	
722	Tetramelaceae	
723	Nartheciaceae	
724	Paeoniaceae	
725	Rhoipteleaceae	
726	Pandaceae	
727	Cynomoriaceae	
728	Restionaceae	
729	Bataceae	
730	Podostemaceae	
731	Brunelliaceae	
732	Calycanthaceae	
733	Ochnaceae	
734	Tapisciaceae	
735	Viscaceae	
736	Clethraceae	
737	Morinaceae	
738	Dipentodontaceae	
739	Circaeasteraceae	
740	Cistaceae	
741	Ixonanthaceae	
742	Phyllanthaceae	
743	Centroplacaceae	
