SourceID	FullnameNoAuthors
1121	Daucus
1127	Oreomyrrhis
1134	Cyclospermum
1147	Agapetes
1148	Elliottia
1157	Cyclamen
1164	Statice
1165	Achras
1166	Chrysophyllum
1168	Manilkara
1169	Mimusops
1171	Pouteria
1173	Eberhardtia
1177	Palura
1179	Cordyloblaste
1184	Linociera
1185	Olea
1190	Gelsemium
1191	Geniostema
1195	Eustoma
1196	Exacum
1202	Crawfurdia
1203	Aganosma
1208	Carissa
1212	Formosia
1213	Funtumia
1214	Lactaria
1215	Landolphia
1218	Ochrosia
1222	Strophanthus
1224	Thevetia
1226	Vallaris
1227	Vinca
1228	Wrightia
1230	Mascarenhasia
1232	Ceropegia
1234	Cryptostegia
1241	Huernia
1243	Pergularia
1244	Stapelia
1245	Stapelianthus
1246	Stephanotis
1247	Stultitia
1251	Metaplexis
1252	Adina
1255	Catesbaea
1266	Hamelia
1269	Hoffmannia
1283	Posoqueria
1300	Luculia
1301	Diplospora
1302	Mycetia
1303	Mephitidia
1304	Phlox
1307	Convolvulus
1318	Quamoclit
1322	Nemophila
1323	Anchusa
1325	Buglossoides
1331	Messerschmidia
1340	Baillonia
1345	Gmelina
1354	Lippia
1361	Chelonopsis
1364	Dysophylla
1370	Kinotemon
1372	Lavandula
1375	Leucosceptrum
1377	Majorana
1381	Moluccella
1382	Moschosma
1384	Nepeta
1393	Rabdosia
1397	Sideritis
1404	Phlomis
1405	Browallia
1407	Brunfelsia
1416	Nierembergia
1417	Petunia
1419	Salpiglossis
1420	Schizanthus
1421	Solandra
1426	Antirrhimum
1435	Linaria
1438	Melasma
1443	Penstemon
1445	Rehmannia
1446	Russelia
1451	Tetranema
1453	Vandellia
1459	Brandisia
1460	Lindenbergia
1461	Botryopleuron
1462	Calorhabdos
1465	Picria
1466	Pseudolysimachion
1468	Bignonia
1469	Campsis
1470	Catalpa
1471	Clytostoma
1472	Crescentia
1473	Jacaranda
1474	Kigelia
1475	Oroxylum
1476	Parmentiera
1477	Pyrostegia
1478	Radermachia
1479	Saritaea
1482	Tecomaria
1483	Adhatoda
1484	Aphelandra
1487	Baphicacanthus
1488	Barleria
1490	Calliaspidia
1492	Crossandra
1495	Eranthemum
1496	Fittonia
1497	Gendarussa
1498	Goldfussia
1499	Hemiadelphis
1503	Jacobinia
1507	Odontonema
1508	Parachampionella
1510	Pseuderanthemum
1511	Rhinacanthus
1513	Sanchezia
1514	Semnostachya
1518	Phlogacanthus
1519	Pteroptychia
1520	Andrographis
1521	Sesamum
1522	Achimenes
1524	Boea
1526	Columnea
1530	Episcia
1533	Nautilocalyx
1536	Saintpaulia
1537	Sinningia
1538	Streptocarpus
1543	Oreocharis
1544	Metapetrocomea
1552	Abelia
1562	Campanumoea
1567	Platycodon
1568	Pratia
1572	Isotoma
1574	Achillea
1575	Adenocaulon
1580	Ammobium
1582	Anthemis
1583	Arctium
1584	Arctotis
1585	Arnica
1589	Billis
1591	Brachycome
1592	Cacalia
1593	Calendula
1594	Callistephus
1597	Centaurea
1601	Cineraria
1610	Dahlia
1612	Dimorphotheca
1625	Glossogyne
1629	Helenium
1631	Helichrysum
1632	Heliopsis
1633	Helipterum
1634	Hemistepta
1638	Kalimeris
1642	Lapsana
1643	Leibnitzia
1645	Liatris
1656	Prenanthes
1659	Rudbeckia
1660	Sanvitaria
1664	Silybum
1669	Sphaeromorphaea
1670	Spilanthes
1671	Stokesia
1677	Tragopogon
1679	Venidium
1707	Inula
1708	Hesperomannia
1709	Lagascea
1710	Synotis
1715	Lophotocarpus
1726	Elodea
1737	Anemarrhena
1740	Chlorophytum
1741	Convallaria
1745	Drimiopsis
1746	Erythronium
1747	Eucomis
1748	Fritillaria
1749	Gagea
1750	Gasteria
1751	Haworthia
1752	Heloniopsis
1754	Hosta
1755	Hyacinthus
1758	Muscari
1760	Ornithogalum
1764	Reineckia
1766	Ruccus
1768	Smilacina
1772	Tulipa
1775	Barnardia
1777	Daiswa
1779	Molineria
1780	Chionographis
1785	Eurcraea
1787	Polianthes
1790	Agapanthus
1791	Amaryllis
1792	Brodiaea
1793	Clivia
1795	Cyrtanthus
1796	Eucharis
1797	Eurycles
1799	Haemanthus
1801	Hymenocallis
1803	Narcissus
1804	Sternbergia
1805	Tulbaghia
1810	Heterosmilax
1814	Babiana
1816	Crocosma
1817	Crocus
1818	Freesia
1821	Ixia
1822	Neomarica
1824	Sparaxis
1825	Streptanthera
1826	Tritonia
1827	Watsonia
1834	Aneilema
1837	Dichorisandra
1839	Geogenanthus
1844	Siderasis
1849	Streptolirion
1851	Porandra
1852	Spatholirion
1855	Acanthostachys
1856	Aechmea
1858	Billbergia
1859	Canistrum
1860	Cryptanthus
1861	Dyckia
1862	Fosterella
1863	Guzmania
1864	Hechtia
1865	Neoregelia
1866	Nidularium
1867	Pitcairnia
1868	Quesnelia
1869	Tillandsia
1870	Vriesea
1872	Baeothryon
1887	Mariscus
1894	Torulinium
1898	Eriophorum
1912	Aulacolepis
1925	Chaetochloa
1930	Cortaderia
1942	Diplachne
1978	Melocanna
2010	Secale
2011	Semiarundinaria
2013	Shibataea
2023	Thyrsostachys
2037	Tetragonocalamus
2038	Andropogon
2039	Pleioblastus
2040	Sinocalamus
2041	Ischurochloa
2043	Archontophoenix
2045	Arecastrum
2047	Butia
2049	Caryota
2050	Chamaedorea
2053	Collinia
2054	Corypha
2055	Daemonorops
2056	Elaeis
2057	Hyophorbe
2058	Jubaea
2059	Latania
2060	Licuala
2064	Ptychosperma
2066	Rhopalostylis
2067	Roystonea
2068	Trachycarpus
2069	Washingtonia
2070	Carludovica
2073	Aglaonema
2076	Anthurium
2083	Lysichiton
2092	Rhektophyllum
2093	Scindapsus
2094	Spathiphyllum
2095	Symplocarpus
2099	Zantedeschia
2110	Heliconia
2111	Ravenala
2112	Strelitzia
2114	Amomum
2117	Elettaria
2119	Kaempferia
2121	Nicolaia
2125	Calathea
2127	Maranta
2128	Stromanthe
2131	Aerides
2135	Angraecum
2139	Armodorum
2141	Ascocenda
2144	Brassia
2145	Brassidium
2146	Brassocattleya
2147	Brassolaelia
2148	Brassolaeliocattleya
2151	Catasetum
2152	Cattleya
2160	Coelogyne
2170	Dimorphorchis
2173	Doritaenopsis
2174	Doritis
2175	Ephemerantha
2176	Epidendrum
2178	Epiphronitis
2182	Euanthe
2189	Grammatophyllum
2197	Ione
2198	Kingidium
2199	Laelia
2200	Laeliocattleya
2204	Ludisia
2206	Macroplectrum
2210	Miltonia
2216	Odontoglossum
2217	Oncidium
2218	Orchis
2221	Paphiopedilum
2223	Paraphalaenopsis
2226	Phalandopsis
2228	Phragmopedilum
2230	Phyllomphax
2234	Pomatocalpa
2236	Potinara
2237	Renanthera
2238	Rhyncholaelia
2239	Rhynchostylis
2371	Tabebuia
2242	Sobralia
2243	Sophrolaeliocattleya
2246	Stanhopea
2257	Vandacostylis
2258	Vandaenopsis
2259	Vandanthe
2260	Vandopsis
2272	Hippeophyllum
2280	Collabiopsis
2281	Cyperorchis
2284	Pelatantheria
2287	Cordiocrinum
2288	Tricarpelema
2289	Kuniwatsukia
2290	Briggsia
2291	Ypsilandra
2292	Themelium
2293	Lunathyrium
2294	Dryoathyrium
2295	Elytranthe
2297	Mapania
2298	Dunnia
2299	Neohusnotia
2300	Desmos
2301	Koenigia
2302	Fallopia
2303	Dacrycarpus
2304	Saprosma
2305	Launaea
2306	Phrynium
2309	Cyperochis
2311	Haplopteris
2313	Macilus
2315	Odontosoria
2317	Paragymnopteris
2318	Parahemionitis
2319	Pentarhizidium
2324	Stephamia
2327	Tupistra
2328	Pentaphragma
2329	Cardiopteris
2330	Lepidosperma
2331	Hypserpa
2332	Cipadessa
2333	Gnetum
2334	Nepenthes
2335	Ixonanthes
2336	Iodes
