FullnameWithAuthors	FullnameNoAuthors	SourceID	OutputNameID	OutputHowMatched	OutputFullNameWithAuthors	OutputAbbreviatedTitle	OutputCollation	OutputVolume	OutputIssue	OutputPage	OutputTitlePageYear	OutputYearPublished	OutputNomenclatureStatus	OutputBHLLink	OutputBatchID
	Platycodon	1567	40010538	FullnameNoAuthors	Platycodon A. DC.	Monogr. Campan.	125			125	1830		Legitimate		7067
	Pratia	1568	40015764	FullnameNoAuthors	Pratia Gaudich.	Ann. Sci. Nat. (Paris)	5: 103	5		103	1825		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:6343&volume=5&issue=&spage=103&date=1825	7067
	Isotoma	1572	40032262	FullnameNoAuthors	Isotoma (R. Br.) Lindl.	Bot. Reg.	12: t. 964	12		t. 964	1826		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:382&volume=12&issue=&spage=t. 964&date=1826	7067
	Achillea	1574	40030407	FullnameNoAuthors	Achillea L.	Sp. Pl.	2: 896	2		896	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=896&date=1753	7067
	Adenocaulon	1575	40032412	FullnameNoAuthors	Adenocaulon Hook.	Bot. Misc.	1(1): 19–20, pl. 15	1	1	19	1829		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:598&volume=1&issue=1&spage=19&date=1829	7067
	Ammobium	1580	40012038	FullnameNoAuthors	Ammobium R. Br. ex Sims	Bot. Mag.					1824		No opinion		7067
	Anthemis	1582	40016051	FullnameNoAuthors	Anthemis L.	Sp. Pl.	2: 893	2		893	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=893&date=1753	7067
	Arctium	1583	40018771	FullnameNoAuthors	Arctium L.	Sp. Pl.	2: 816	2		816	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=816&date=1753	7067
	Arctotis	1584	40018847	FullnameNoAuthors	Arctotis L.	Sp. Pl.	2: 922	2		922	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=922&date=1753	7067
	Arnica	1585	40019717	FullnameNoAuthors	Arnica L.	Sp. Pl.	2: 884	2		884	1753		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=884&date=1753	7067
	Billis	1589													7067
	Brachycome	1591													7067
	Cacalia	1592	40033913	FullnameNoAuthors	Cacalia Kuntze	Revis. Gen. Pl.	1: 323	1		323	1891		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:327&volume=1&issue=&spage=323&date=1891	7067
	Calendula	1593	40034679	FullnameNoAuthors	Calendula L.	Sp. Pl.	2: 921	2		921	1753		No opinion	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=921&date=1753	7067
	Callistephus	1594	40035184	FullnameNoAuthors	Callistephus Cass.	Dict. Sci. Nat. (ed. 2)	37: 491	37		491	1825		Legitimate	http://www.biodiversitylibrary.org/openurl?pid=title:42219&volume=37&issue=&spage=491&date=1825	7067
	Centaurea	1597	40003507	FullnameNoAuthors	Centaurea L.	Sp. Pl.	2: 909	2		909	1753		nom. cons.	http://www.biodiversitylibrary.org/openurl?pid=title:669&volume=2&issue=&spage=909&date=1753	7067
