id,hast_family_id,ptype,family,family_zh,family_apgiv,family_apgiv_zh
125,421,3,Malpighiaceae,黃褥花科,Malpighiaceae,黃褥花科
126,422,3,Polygalaceae,遠志科,Polygalaceae,遠志科
127,423,3,Coriariaceae,馬桑科,Coriariaceae,馬桑科
128,424,3,Anacardiaceae,漆樹科,Anacardiaceae,漆樹科
129,425,3,Aceraceae,槭樹科,,
130,426,3,Sapindaceae,無患子科,Sapindaceae,無患子科
131,427,3,Bretschneideraceae,鐘萼木科,,
132,428,3,Sabiaceae,清風藤科,Sabiaceae,清風藤科
133,429,3,Balsaminaceae,鳳仙花科,Balsaminaceae,鳳仙花科
134,430,3,Aquifoliaceae,冬青科,Aquifoliaceae,冬青科
135,431,3,Celastraceae,衛矛科,Celastraceae,衛矛科
136,432,3,Staphyleaceae,省沽油科,Staphyleaceae,省沽油科
137,433,3,Buxaceae,黃楊科,Buxaceae,黃楊科
138,434,3,Icacinaceae,茶茱萸科,Icacinaceae,茶茱萸科
139,435,3,Rhamnaceae,鼠李科,Rhamnaceae,鼠李科
140,436,3,Vitaceae,葡萄科,Vitaceae,葡萄科
141,437,3,Leeaceae,火筒樹科,,
142,438,3,Elaeocarpaceae,杜英科,Elaeocarpaceae,杜英科
143,439,3,Tiliaceae,田麻科,,
144,440,3,Malvaceae,錦葵科,Malvaceae,錦葵科
145,441,3,Bombacaceae,木棉科,,
146,442,3,Sterculiaceae,梧桐科,,
147,443,3,Thymelaeaceae,瑞香科,Thymelaeaceae,瑞香科
148,444,3,Elaeagnaceae,胡頹子科,Elaeagnaceae,胡頹子科
149,445,3,Flacourtiaceae,大風子科,,
150,446,3,Violaceae,堇菜科,Violaceae,堇菜科
151,447,3,Stachyuraceae,旌節花科,Stachyuraceae,旌節花科
152,448,3,Passifloraceae,西番蓮科,Passifloraceae,西番蓮科
153,449,3,Bixaceae,臙脂樹科,Bixaceae,臙脂樹科
154,450,3,Tamaricaceae,檉柳科,Tamaricaceae,檉柳科
155,451,3,Elatinaceae,溝繁縷科,Elatinaceae,溝繁縷科
156,452,3,Caricaceae,番木瓜科,Caricaceae,番木瓜科
157,453,3,Begoniaceae,秋海棠科,Begoniaceae,秋海棠科
158,454,3,Cucurbitaceae,葫蘆科,Cucurbitaceae,瓜科
159,455,3,Lythraceae,千屈菜科,Lythraceae,千屈菜科
160,456,3,Myrtaceae,桃金孃科,Myrtaceae,桃金孃科
161,457,3,Punicaceae,安石榴科,,
162,458,3,Lecythidaceae,玉蕊科,Lecythidaceae,玉蕊科
163,459,3,Melastomataceae,野牡丹科,Melastomataceae,野牡丹科
164,460,3,Rhizophoraceae,紅樹科,Rhizophoraceae,紅樹科
165,461,3,Combretaceae,使君子科,Combretaceae,使君子科
166,462,3,Onagraceae,柳葉菜科,Onagraceae,柳葉菜科
167,463,3,Trapaceae,菱科,,
168,464,3,Haloragaceae,小二仙草科,Haloragaceae,小二仙草科
169,465,3,Theligonaceae,纖花草科,,
170,466,3,Alangiaceae,八角楓科,,
171,467,3,Nyssaceae,珙桐科,Nyssaceae,藍果樹科
172,468,3,Cornaceae,山茱萸科(四照花科),Cornaceae,山茱萸科
173,469,3,Araliaceae,五加科,Araliaceae,五加科
174,470,3,Apiaceae,繖形科,Apiaceae,繖形科
